agent,opponent,games,a_wins,b_wins,draws,a_win_rate,b_win_rate,draw_rate,avg_steps,avg_forfeits
ppo_base,random,80,80,0,0,1.0,0.0,0.0,13.075,1.2375
ppo_base,greedy,80,38,42,0,0.475,0.525,0.0,11.475,2.275
ppo_base,blocking,80,42,38,0,0.525,0.475,0.0,13.55,2.4125
ppo_base,safe,80,28,52,0,0.35,0.65,0.0,12.05,1.35
ppo_base,counter,80,50,30,0,0.625,0.375,0.0,21.55,3.825
ppo_base,stronger,80,18,62,0,0.225,0.775,0.0,15.1,2.2875
ppo_curriculum,random,80,80,0,0,1.0,0.0,0.0,14.425,1.625
ppo_curriculum,greedy,80,40,40,0,0.5,0.5,0.0,11.25,2.15
ppo_curriculum,blocking,80,39,41,0,0.4875,0.5125,0.0,12.5875,2.3625
ppo_curriculum,safe,80,35,45,0,0.4375,0.5625,0.0,12.7125,1.4875
ppo_curriculum,counter,80,54,26,0,0.675,0.325,0.0,20.4,3.7
ppo_curriculum,stronger,80,22,58,0,0.275,0.725,0.0,15.75,2.425
ppo_finetuned,random,80,80,0,0,1.0,0.0,0.0,14.7,1.7875
ppo_finetuned,greedy,80,43,37,0,0.5375,0.4625,0.0,10.9875,1.925
ppo_finetuned,blocking,80,43,37,0,0.5375,0.4625,0.0,11.2125,1.8625
ppo_finetuned,safe,80,42,38,0,0.525,0.475,0.0,11.475,1.325
ppo_finetuned,counter,80,55,25,0,0.6875,0.3125,0.0,18.8125,2.9625
ppo_finetuned,stronger,80,22,58,0,0.275,0.725,0.0,16.225,2.5875
ppo_finetuned_2,random,80,80,0,0,1.0,0.0,0.0,14.275,1.5
ppo_finetuned_2,greedy,80,32,48,0,0.4,0.6,0.0,11.475,2.3625
ppo_finetuned_2,blocking,80,42,38,0,0.525,0.475,0.0,13.075,2.3125
ppo_finetuned_2,safe,80,45,35,0,0.5625,0.4375,0.0,12.3625,1.575
ppo_finetuned_2,counter,80,58,22,0,0.725,0.275,0.0,18.75,3.45
ppo_finetuned_2,stronger,80,23,57,0,0.2875,0.7125,0.0,15.4625,2.4625
random,greedy,40,0,40,0,0.0,1.0,0.0,13.5,2.75
random,blocking,40,0,40,0,0.0,1.0,0.0,13.65,2.525
random,safe,40,0,40,0,0.0,1.0,0.0,13.95,1.975
random,counter,40,0,40,0,0.0,1.0,0.0,20.5,3.65
random,stronger,40,0,40,0,0.0,1.0,0.0,11.9,1.2
greedy,blocking,40,12,28,0,0.3,0.7,0.0,15.2,3.775
greedy,safe,40,14,26,0,0.35,0.65,0.0,13.8,3.375
greedy,counter,40,19,21,0,0.475,0.525,0.0,21.525,5.3
greedy,stronger,40,7,33,0,0.175,0.825,0.0,13.725,2.7
blocking,safe,40,18,22,0,0.45,0.55,0.0,15.85,4.65
blocking,counter,40,18,22,0,0.45,0.55,0.0,30.5,8.3
blocking,stronger,40,7,33,0,0.175,0.825,0.0,15.125,2.675
safe,counter,40,21,19,0,0.525,0.475,0.0,22.975,5.55
safe,stronger,40,13,27,0,0.325,0.675,0.0,14.525,1.875
counter,stronger,40,3,37,0,0.075,0.925,0.0,14.925,2.425
